Specific Venitlation, x, y, z, left_lung, right_lung, left_lung_upper, left_lung_lower, right_lung_upper, right_lung_lower
1.452469999999999872e-01,6.195949999999999847e+00,-8.102389999999999759e+00,-1.379509999999999970e+01,nan,1.452469999999999872e-01,nan,nan,nan,1.452469999999999872e-01
1.714170000000000138e-01,7.149169999999999803e+00,-8.102389999999999759e+00,-1.379509999999999970e+01,nan,1.714170000000000138e-01,nan,nan,nan,1.714170000000000138e-01
1.534780000000000033e-01,5.242720000000000269e+00,-7.149169999999999803e+00,-1.379509999999999970e+01,nan,1.534780000000000033e-01,nan,nan,nan,1.534780000000000033e-01
1.953969999999999874e-01,6.195949999999999847e+00,-7.149169999999999803e+00,-1.379509999999999970e+01,nan,1.953969999999999874e-01,nan,nan,nan,1.953969999999999874e-01
1.543460000000000110e-01,4.289500000000000313e+00,-6.195949999999999847e+00,-1.379509999999999970e+01,nan,1.543460000000000110e-01,nan,nan,nan,1.543460000000000110e-01
2.230250000000000010e-01,5.242720000000000269e+00,-6.195949999999999847e+00,-1.379509999999999970e+01,nan,2.230250000000000010e-01,nan,nan,nan,2.230250000000000010e-01
2.802529999999999744e-01,6.195949999999999847e+00,-6.195949999999999847e+00,-1.379509999999999970e+01,nan,2.802529999999999744e-01,nan,nan,nan,2.802529999999999744e-01
2.296890000000000043e-01,4.289500000000000313e+00,-5.242729999999999890e+00,-1.379509999999999970e+01,nan,2.296890000000000043e-01,nan,nan,nan,2.296890000000000043e-01
2.968810000000000060e-01,5.242720000000000269e+00,-5.242729999999999890e+00,-1.379509999999999970e+01,nan,2.968810000000000060e-01,nan,nan,nan,2.968810000000000060e-01
2.794550000000000090e-01,4.289500000000000313e+00,-4.289500000000000313e+00,-1.379509999999999970e+01,nan,2.794550000000000090e-01,nan,nan,nan,2.794550000000000090e-01
3.244839999999999947e-01,3.336279999999999912e+00,-3.336279999999999912e+00,-1.379509999999999970e+01,nan,3.244839999999999947e-01,nan,nan,nan,3.244839999999999947e-01
5.142780000000000268e-02,-6.195949999999999847e+00,-1.382169999999999987e+01,-1.284190000000000076e+01,5.142780000000000268e-02,nan,5.142780000000000268e-02,nan,nan,nan
1.117910000000000015e-01,-5.242729999999999890e+00,-1.382169999999999987e+01,-1.284190000000000076e+01,1.117910000000000015e-01,nan,1.117910000000000015e-01,nan,nan,nan
