ScanName,DatePrepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),State
3757_beads,2021-12-11-06:49:39.468025,23.5,0.17,0.125,72.33,22.62,57.56,Post beads
RepeatBeadsNormalRAT3370,2021-06-28-14:48:33.175442,26.2,0.15,0.097,76.12,28.34,59.77,Post beads
BeadsCF510RAT3359,2021-07-22-21:05:36.460605,34.0,0.18,0.086,93.02,23.05,77.94,Post beads
3908beads,2022-03-26-00:11:14.227070,22.6,0.12,0.142,64.47,23.9,43.44,Post beads
WTRAT3196beads,2021-02-19-17:43:41.705752,17.9,0.15,0.121,53.84,24.21,40.26,Post beads
4572_KO_BEADS,2023-06-13-10:21:19.045034,18.4,0.188,1.143,54.35,21.39,37.92,Post beads
3865beads,2022-03-29-03:03:45.583481,23.9,0.16,0.125,70.02,24.28,52.42,Post beads
4869_WT_BEADS,2023-07-05-21:11:07.112496,45.5,0.15,1.001,131.25,32.61,109.5,Post beads
CF510RAT3232beads,2021-03-17-19:12:57.792171,41.3,0.17,0.079,124.07,23.21,123.64,Post beads
S176_WT_BEADS,2023-07-05-20:51:29.952561,29.8,0.184,1.318,84.48,22.05,71.53,Post beads
3756_beads,2022-01-08-18:27:06.718811,28.2,0.17,0.115,81.49,23.68,67.16,Post beads
WTRAT3187beadsDead,2021-02-19-13:54:06.307548,34.0,0.07,0.04,86.96,30.29,69.57,Post beads
WTRAT3186beads,2021-02-16-04:46:19.759453,30.6,0.12,0.111,75.98,28.26,60.69,Post beads
RAT3168beads,2021-02-17-20:44:27.999390,38.9,0.17,0.097,111.23,28.13,104.34,Post beads
S12_BEADS,2023-06-13-10:46:06.120738,24.0,0.132,1.072,70.86,23.64,44.91,Post beads
3751_beads,2022-01-08-08:05:19.192024,30.3,0.2,0.118,82.34,26.08,66.91,Post beads
3531-WT-POST,2021-08-31-22:04:57.601611,26.8,0.16,0.11,80.61,24.82,60.75,Post beads
BeadsCF510RAT3361,2021-07-28-22:21:14.014545,34.9,0.2,0.075,110.15,24.0,104.63,Post beads
RAT3177beads,2021-02-17-23:41:53.871525,20.4,0.18,0.126,59.25,20.41,50.54,Post beads
3890beads,2022-04-05-01:40:35.765213,23.5,0.17,0.122,71.43,23.75,61.38,Post beads
RAT3110beads,2021-02-17-03:34:45.880388,40.6,0.14,0.092,123.28,29.38,115.38,Post beads
4053_beads,2022-07-31-12:53:05.268326,29.0,0.19,0.099,77.71,25.89,61.16,Post beads
CF510RAT3227beads,2021-02-19-16:52:24.828351,35.7,0.17,0.091,106.61,21.67,99.49,Post beads
S11_KO_BEADS,2023-06-29-05:50:41.190628,16.4,0.199,1.114,49.53,16.8,38.1,Post beads
S13_BEADS,2023-06-13-10:45:21.885873,22.3,0.139,1.117,66.04,24.1,44.15,Post beads
WTRAT3195beads,2021-02-18-22:25:48.237799,36.6,0.16,0.082,107.38,32.12,94.58,Post beads
4055_beads,2022-06-26-08:54:57.248235,30.1,0.18,0.116,84.97,25.16,68.01,Post beads
